序号|股票代码|股票简称|研报数|机构投资评级(近六个月)-买入|机构投资评级(近六个月)-增持|机构投资评级(近六个月)-中性|机构投资评级(近六个月)-减持|机构投资评级(近六个月)-卖出|2024预测每股收益|2025预测每股收益|2026预测每股收益|2027预测每股收益
113|001215|千味央厨|23|12.0|11.0|0.0|0.0|0.0|0.861388735906|0.814166666667|0.979166666667|1.134583333333
114|002946|新乳业|23|14.0|9.0|0.0|0.0|0.0|0.624730288672|0.820434782609|0.972608695652|1.124545454545
115|600048|保利发展|23|17.0|5.0|1.0|0.0|0.0|0.417794326041|0.32447826087|0.357652173913|0.436318181818
116|601658|邮储银行|23|14.0|9.0|0.0|0.0|0.0|0.720087942721|0.731818181818|0.750909090909|0.780476190476
117|002244|滨江集团|23|15.0|8.0|0.0|0.0|0.0|0.818194081237|0.935782608696|1.015217391304|1.101545454545
118|001979|招商蛇口|23|16.0|7.0|0.0|0.0|0.0|0.447932248663|0.462043478261|0.51752173913|0.588909090909
119|601628|中国人寿|23|17.0|6.0|0.0|0.0|0.0|3.783340388658|5.990526315789|5.766842105263|6.355555555556
120|688008|澜起科技|23|17.0|5.0|1.0|0.0|0.0|1.232831754725|1.955|2.671818181818|3.444285714286
121|920982|锦波生物|23|17.0|6.0|0.0|0.0|0.0|6.364224191055|8.589782608696|11.592434782609|14.806090909091
122|600882|妙可蓝多|23|13.0|10.0|0.0|0.0|0.0|0.22276224789|0.456956521739|0.658695652174|0.886818181818
123|601318|中国平安|23|19.0|4.0|0.0|0.0|0.0|6.991909826523|7.977894736842|8.651578947368|9.533888888889
124|002572|索菲亚|23|16.0|7.0|0.0|0.0|0.0|1.423548298908|1.089956521739|1.241260869565|1.347681818182
125|300972|万辰集团|23|14.0|9.0|0.0|0.0|0.0|1.553919358127|6.294826086957|9.140869565217|11.623954545455
126|600030|中信证券|23|16.0|7.0|0.0|0.0|0.0|1.464432914888|1.964545454545|2.157272727273|2.379
127|000063|中兴通讯|23|18.0|5.0|0.0|0.0|0.0|1.761206346147|1.683739130435|1.881869565217|2.158863636364
128|000893|亚钾国际|23|16.0|7.0|0.0|0.0|0.0|1.028585772641|2.003956521739|2.939869565217|3.815956521739
129|603501|豪威集团|23|17.0|6.0|0.0|0.0|0.0|2.747834865656|3.68652173913|4.75252173913|5.777565217391
130|605117|德业股份|23|15.0|8.0|0.0|0.0|0.0|3.261132863229|3.861739130435|4.772173913043|5.671818181818
131|000963|华东医药|23|18.0|5.0|0.0|0.0|0.0|2.00231615354|2.257130434783|2.556086956522|2.875863636364
